GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.event.profile,InMemoryCondition,11,22,3,1,3,6,2,3,0,3
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.adapter,LawnMowerCustomerDBAdapter,0,32,0,0,0,10,0,4,0,4
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.adapter,LawnMowersCompanyDbAdapter,5,79,1,3,1,22,1,8,0,7
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.service,AccountService,13,22,0,0,4,7,0,3,0,3
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.service,LawnMowersUnitedService,6,114,2,10,2,35,2,15,0,11
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.service,DispatcherService,0,11,0,0,0,4,0,2,0,2
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.config,LawnMowersUnitedBasicConfigs,0,13,0,0,0,4,0,4,0,4
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.exception,InvalidLawnMowerCompany,13,0,0,0,6,0,3,0,3,0
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.notification,LawnMowersUnitedNotificationFactory,11,14,0,0,4,4,2,1,2,1
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.notification,LawnMowersUnitedNotification,53,17,10,0,6,8,8,5,3,5
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.notification.email,EmailNotificationAdapter,26,44,0,0,10,14,2,5,2,5
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.notification.email,InMemoryEmailSender,28,0,0,0,9,0,3,0,3,0
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.adapter,LawnMowersUnitedRestAdapter,34,3,0,0,8,1,4,1,4,1
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.factory,LawnMowerCustomerEntityFactory,3,17,0,0,1,4,1,1,1,1
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.factory,LawnMowerCompanyEntityFactory,25,17,2,0,6,4,3,1,2,1
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.data,AccountCreationState,0,34,0,0,0,4,0,1,0,1
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.data,Customer,64,15,10,0,12,6,11,3,6,3
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.data,AccountType,0,24,0,0,0,3,0,1,0,1
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.data,ServiceRequest,79,0,10,0,18,0,14,0,9,0
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.data,AccountCreationResponse,0,9,0,0,0,4,0,2,0,2
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.data,ServiceRequestState,0,34,0,0,0,4,0,1,0,1
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.data,LawnMowerCompany,35,57,4,6,8,14,9,6,5,5
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.data,ServiceResponse,45,10,8,0,9,5,8,3,4,3
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.event,LawnMowersUnitedEventAdapter,0,26,0,0,0,10,0,3,0,3
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.event,LawnMowersUnitedEventFactory,3,40,0,0,1,10,1,2,1,2
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.event,LawnMowersUnitedEvent,66,24,12,0,6,10,9,7,3,7
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.event.publisher.memory,InMemoryServiceRequestEventPublisher,14,0,0,0,3,0,3,0,3,0
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.event.publisher.memory,InMemoryNewAccountCreationEventPublisher,14,0,0,0,3,0,3,0,3,0
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.event.consumer.memory,InMemoryServiceRequestEventConsumer,8,0,0,0,3,0,2,0,2,0
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.event.consumer.memory,InMemoryNewAccountCreationEventConsumer,8,0,0,0,3,0,2,0,2,0
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited,LawnMowersUnitedApplication,5,3,0,0,2,1,1,1,1,1
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.entity,LawnMowerCompanyEntity,40,12,6,0,8,6,7,3,4,3
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.entity,LawnMowerCustomerEntity,40,12,6,0,8,6,7,3,4,3
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.entity,LawnMowerCustomerKey,53,11,10,0,7,6,9,3,4,3
lawn-mowers-united-service,com.lessonsbyleo.LawnMowersUnited.db.entity,LawnMowerCompanyKey,47,17,10,0,5,8,7,5,2,5
